id,title,description,category,subcategory,subsubcategory
89,Gray Code,"An n-bit gray code sequence is a sequence of 2n integers where:	Every integer is in the inclusive range [0, 2n - 1],	The first integer is 0,	An integer appears no more than once in the sequence,	The binary representation of every pair of adjacent integers differs by exactly one bit, and	The binary representation of the first and last integers differs by exactly one bit.Given an integer n, return any valid n-bit gray code sequence. ",Bit Manipulation,Bitwise Techniques,Gray Code
90,Subsets II,"Given an integer array nums that may contain duplicates, return all possible subsets (the power set).The solution set must not contain duplicate subsets. Return the solution in any order. ",Backtracking,Permutations & Combinations,Subsets
91,Decode Ways,"You have intercepted a secret message encoded as a string of numbers. The message is decoded via the following mapping:&quot;1&quot; -> &#39;A&#39;&quot;2&quot; -> &#39;B&#39;...&quot;25&quot; -> &#39;Y&#39;&quot;26&quot; -> &#39;Z&#39;However, while decoding the message, you realize that there are many different ways you can decode the message because some codes are contained in other codes (&quot;2&quot; and &quot;5&quot; vs &quot;25&quot;).For example, &quot;11106&quot; can be decoded into:	&quot;AAJF&quot; with the grouping (1, 1, 10, 6)	&quot;KJF&quot; with the grouping (11, 10, 6)	The grouping (1, 11, 06) is invalid because &quot;06&quot; is not a valid code (only &quot;6&quot; is valid).Note: there may be strings that are impossible to decode.Given a string s containing only digits, return the number of ways to decode it. If the entire string cannot be decoded in any valid way, return 0.The test cases are generated so that the answer fits in a 32-bit integer. ",Dynamic Programming (DP),1D DP,Climbing Stairs variants
92,Reverse Linked List II,"Given the head of a singly linked list and two integers left and right where left <= right, reverse the nodes of the list from position left to position right, and return the reversed list. ",Linked Lists,Basic Operations,Reversal
93,Restore IP Addresses,"A valid IP address consists of exactly four integers separated by single dots. Each integer is between 0 and 255 (inclusive) and cannot have leading zeros.	For example, &quot;0.1.2.201&quot; and &quot;192.168.1.1&quot; are valid IP addresses, but &quot;0.011.255.245&quot;, &quot;192.168.1.312&quot; and &quot;192.168@1.1&quot; are invalid IP addresses.Given a string s containing only digits, return all possible valid IP addresses that can be formed by inserting dots into s. You are not allowed to reorder or remove any digits in s. You may return the valid IP addresses in any order. ",Backtracking,Constraint Satisfaction,Word Search
94,Binary Tree Inorder Traversal,"Given the root of a binary tree, return the inorder traversal of its nodes&#39; values. ",Trees,Binary Trees,"Traversal (Inorder, Preorder, Postorder, Level Order)"
95,Unique Binary Search Trees II,"Given an integer n, return all the structurally unique BST&#39;s (binary search trees), which has exactly n nodes of unique values from 1 to n. Return the answer in any order. ",Trees,Binary Trees,Binary Search Tree operations
96,Unique Binary Search Trees,"Given an integer n, return the number of structurally unique BST&#39;s (binary search trees) which has exactly n nodes of unique values from 1 to n. ",Dynamic Programming (DP),1D DP,Fibonacci-like Sequences
97,Interleaving String,"Given strings s1, s2, and s3, find whether s3 is formed by an interleaving of s1 and s2.An interleaving of two strings s and t is a configuration where s and t are divided into n and m substrings respectively, such that:	s = s1 + s2 + ... + sn	t = t1 + t2 + ... + tm	|n - m| 	The interleaving is s1 + t1 + s2 + t2 + s3 + t3 + ... or t1 + s1 + t2 + s2 + t3 + s3 + ...Note: a + b is the concatenation of strings a and b. ",Dynamic Programming (DP),2D DP,Longest Common Subsequence (LCS)
98,Validate Binary Search Tree,"Given the root of a binary tree, determine if it is a valid binary search tree (BST).A valid BST is defined as follows:	The left subtree of a node contains only nodes with keys less than the node&#39;s key.	The right subtree of a node contains only nodes with keys greater than the node&#39;s key.	Both the left and right subtrees must also be binary search trees. ",Trees,Binary Trees,Binary Search Tree operations
99,Recover Binary Search Tree,"You are given the root of a binary search tree (BST), where the values of exactly two nodes of the tree were swapped by mistake. Recover the tree without changing its structure. ",Trees,Binary Trees,Binary Search Tree operations
100,Same Tree,"Given the roots of two binary trees p and q, write a function to check if they are the same or not.Two binary trees are considered the same if they are structurally identical, and the nodes have the same value. ",Trees,Binary Trees,"Traversal (Inorder, Preorder, Postorder, Level Order)"
101,Symmetric Tree,"Given the root of a binary tree, check whether it is a mirror of itself (i.e., symmetric around its center). ",Trees,Binary Trees,"Traversal (Inorder, Preorder, Postorder, Level Order)"
102,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes&#39; values. (i.e., from left to right, level by level). ",Trees,Binary Trees,"Traversal (Inorder, Preorder, Postorder, Level Order)"
103,Binary Tree Zigzag Level Order Traversal,"Given the root of a binary tree, return the zigzag level order traversal of its nodes&#39; values. (i.e., from left to right, then right to left for the next level and alternate between). ",Trees,Binary Trees,"Traversal (Inorder, Preorder, Postorder, Level Order)"
104,Maximum Depth of Binary Tree,"Given the root of a binary tree, return its maximum depth.A binary tree&#39;s maximum depth is the number of nodes along the longest path from the root node down to the farthest leaf node. ",Trees,Binary Trees,Height & Depth Calculation
105,Construct Binary Tree from Preorder and Inorder Traversal,"Given two integer arrays preorder and inorder where preorder is the preorder traversal of a binary tree and inorder is the inorder traversal of the same tree, construct and return the binary tree. ",Trees,Binary Trees,"Traversal (Inorder, Preorder, Postorder, Level Order)"
106,Construct Binary Tree from Inorder and Postorder Traversal,"Given two integer arrays inorder and postorder where inorder is the inorder traversal of a binary tree and postorder is the postorder traversal of the same tree, construct and return the binary tree. ",Trees,Binary Trees,"Traversal (Inorder, Preorder, Postorder, Level Order)"
107,Binary Tree Level Order Traversal II,"Given the root of a binary tree, return the bottom-up level order traversal of its nodes&#39; values. (i.e., from left to right, level by level from leaf to root). ",Trees,Binary Trees,"Traversal (Inorder, Preorder, Postorder, Level Order)"
